STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
CCL,8.79,0.57 (6.93 %),8.22,8.78,8.79,8.57,2112000,18.55 TỶ,0,0,20/02/2024
TNA,6.35,0.41 (6.90 %),5.94,6.35,6.35,6.35,463300,2.94 TỶ,0,0,20/02/2024
TDG,4.08,0.26 (6.81 %),3.82,3.82,4.08,3.82,349200,1.4 TỶ,0,0,20/02/2024
ST8,11.95,0.75 (6.70 %),11.2,11.95,11.95,11.65,3286900,39.04 TỶ,1153100,13779545000,20/02/2024
SHI,14.8,0.90 (6.47 %),13.9,13.9,14.8,13.85,681700,9.49 TỶ,1500000,20850000000,20/02/2024
TDP,29.9,1.80 (6.41 %),28.1,28.0,29.9,28.0,232000,6.53 TỶ,0,0,20/02/2024
LGC,56.0,3.30 (6.26 %),52.7,52.8,56.3,52.5,2300,0.12 TỶ,0,0,20/02/2024
ADP,23.9,1.40 (6.22 %),22.5,22.5,23.9,22.5,1100,0.02 TỶ,0,0,20/02/2024
VRE,25.5,1.45 (6.03 %),24.05,24.75,25.7,24.7,25144500,637.2 TỶ,69000,1704300000,20/02/2024
GVR,28.2,1.40 (5.22 %),26.8,26.9,28.2,26.35,5439800,147.65 TỶ,0,0,20/02/2024
HBC,9.03,0.43 (5.00 %),8.6,8.87,9.2,8.86,5297600,48.01 TỶ,0,0,20/02/2024
PJT,11.0,0.50 (4.76 %),10.5,11.0,11.0,11.0,100,0 TỶ,0,0,20/02/2024
VDP,41.9,1.90 (4.75 %),40.0,42.8,42.8,41.9,300,0.01 TỶ,0,0,20/02/2024
EVF,17.4,0.75 (4.50 %),16.65,17.0,17.7,16.7,17076400,293.51 TỶ,0,0,20/02/2024
SIP,82.0,3.40 (4.33 %),78.6,78.1,82.0,78.0,578200,46.5 TỶ,0,0,20/02/2024
HNA,22.95,0.95 (4.32 %),22.0,22.45,23.0,22.35,79600,1.81 TỶ,0,0,20/02/2024
DTA,5.32,0.22 (4.31 %),5.1,5.1,5.37,5.1,24400,0.13 TỶ,0,0,20/02/2024
POM,5.42,0.20 (3.83 %),5.22,5.5,5.5,5.3,3177600,17.22 TỶ,0,0,20/02/2024
NHA,17.75,0.65 (3.80 %),17.1,17.15,18.05,17.15,499800,8.83 TỶ,0,0,20/02/2024
CTD,68.8,2.50 (3.77 %),66.3,66.3,69.5,66.1,4116400,279.05 TỶ,0,0,20/02/2024
TCD,8.3,0.30 (3.75 %),8.0,8.16,8.35,7.81,7289900,59.63 TỶ,0,0,20/02/2024
TNT,4.78,0.17 (3.69 %),4.61,4.61,4.82,4.51,901500,4.19 TỶ,0,0,20/02/2024
HID,3.1,0.11 (3.68 %),2.99,2.99,3.16,2.95,124400,0.38 TỶ,0,0,20/02/2024
STG,49.3,1.70 (3.57 %),47.6,47.5,49.3,47.4,500,0.02 TỶ,0,0,20/02/2024
VSC,22.9,0.75 (3.39 %),22.15,22.35,22.9,21.9,6086900,135.63 TỶ,248000,5580000000,20/02/2024
HAS,7.5,0.24 (3.31 %),7.26,7.74,7.75,7.5,900,0.01 TỶ,0,0,20/02/2024
VDS,18.95,0.60 (3.27 %),18.35,18.75,19.2,18.65,1945400,36.88 TỶ,0,0,20/02/2024
VIC,48.5,1.50 (3.19 %),47.0,48.0,49.35,47.9,8974900,438.11 TỶ,20000,923000000,20/02/2024
CRC,7.44,0.23 (3.19 %),7.21,7.21,7.7,7.21,290400,2.18 TỶ,0,0,20/02/2024
SFG,11.4,0.35 (3.17 %),11.05,11.65,11.75,11.05,61300,0.69 TỶ,0,0,20/02/2024
L10,22.9,0.70 (3.15 %),22.2,22.9,22.9,22.9,100,0 TỶ,0,0,20/02/2024
CLL,41.0,1.20 (3.02 %),39.8,39.95,41.0,39.35,15000,0.61 TỶ,0,0,20/02/2024
GEG,13.7,0.40 (3.01 %),13.3,13.3,13.7,13.25,1169100,15.83 TỶ,0,0,20/02/2024
TNI,2.82,0.08 (2.92 %),2.74,2.75,2.92,2.74,648800,1.83 TỶ,0,0,20/02/2024
