STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
NBB,23.55,-0.80 (-3.29 %),24.35,24.5,24.5,22.7,338000,8.02 TỶ,0,0,11/03/2024
CCI,22.0,-0.80 (-3.51 %),22.8,21.9,22.0,21.9,200,0 TỶ,0,0,11/03/2024
VRE,24.5,-0.90 (-3.54 %),25.4,25.4,25.55,24.5,11759900,294.77 TỶ,0,0,11/03/2024
AAA,10.5,-0.40 (-3.67 %),10.9,10.85,11.0,10.5,3310800,35.66 TỶ,0,0,11/03/2024
LDG,3.09,-0.12 (-3.74 %),3.21,3.2,3.21,3.0,4742200,14.65 TỶ,0,0,11/03/2024
SMC,11.55,-0.45 (-3.75 %),12.0,12.05,12.05,11.5,828200,9.69 TỶ,0,0,11/03/2024
MHC,9.17,-0.38 (-3.98 %),9.55,9.51,9.55,9.17,317300,2.98 TỶ,0,0,11/03/2024
CKG,22.55,-0.95 (-4.04 %),23.5,23.6,25.0,22.55,210100,4.95 TỶ,0,0,11/03/2024
CCL,8.7,-0.40 (-4.40 %),9.1,9.01,9.2,8.7,421000,3.78 TỶ,0,0,11/03/2024
PAN,23.65,-1.10 (-4.44 %),24.75,24.65,24.7,23.5,3997300,96.52 TỶ,0,0,11/03/2024
FIR,9.33,-0.46 (-4.70 %),9.79,9.81,9.88,9.33,1522600,14.54 TỶ,0,0,11/03/2024
AGG,21.7,-1.10 (-4.82 %),22.8,22.55,22.55,21.4,1039000,22.79 TỶ,600000,13500000000,11/03/2024
SVD,2.4,-0.13 (-5.14 %),2.53,2.53,2.54,2.4,48200,0.12 TỶ,0,0,11/03/2024
TVB,7.51,-0.41 (-5.18 %),7.92,8.0,8.0,7.51,877500,6.77 TỶ,0,0,11/03/2024
BMC,19.1,-1.05 (-5.21 %),20.15,19.7,20.25,19.05,81600,1.57 TỶ,0,0,11/03/2024
SRC,27.9,-1.65 (-5.58 %),29.55,29.45,29.45,27.8,5600,0.16 TỶ,0,0,11/03/2024
ST8,10.45,-0.65 (-5.86 %),11.1,11.1,11.3,10.4,1159700,12.51 TỶ,0,0,11/03/2024
POM,5.3,-0.35 (-6.19 %),5.65,5.63,5.64,5.3,3110500,16.82 TỶ,0,0,11/03/2024
CLW,34.85,-2.60 (-6.94 %),37.45,34.85,34.85,34.85,100,0 TỶ,0,0,11/03/2024
PIT,6.54,-0.49 (-6.97 %),7.03,7.0,7.0,6.54,39800,0.26 TỶ,0,0,11/03/2024
