STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
AGM,7.53,1.25 (19.90 %),6.28,7.53,7.53,7.53,1347900,10.15 TỶ,0,0,21/03/2024
ASM,12.25,0.80 (6.99 %),11.45,11.55,12.25,11.4,12474600,151.55 TỶ,0,0,21/03/2024
CCL,9.35,0.61 (6.98 %),8.74,8.88,9.35,8.7,973400,8.95 TỶ,0,0,21/03/2024
CNG,35.3,2.30 (6.97 %),33.0,33.7,35.3,33.4,949100,32.8 TỶ,0,0,21/03/2024
CTR,127.4,8.30 (6.97 %),119.1,120.9,127.4,119.5,933100,116.14 TỶ,0,0,21/03/2024
PDR,30.75,2.00 (6.96 %),28.75,29.15,30.75,28.75,40197300,"1,211.24 TỶ",0,0,21/03/2024
D2D,41.75,2.70 (6.91 %),39.05,41.75,41.75,41.6,110200,4.6 TỶ,0,0,21/03/2024
HU1,5.88,0.38 (6.91 %),5.5,5.6,5.88,5.6,68600,0.39 TỶ,0,0,21/03/2024
L10,20.9,1.35 (6.91 %),19.55,20.9,20.9,20.9,100,0 TỶ,0,0,21/03/2024
VDP,41.9,2.70 (6.89 %),39.2,41.9,41.9,41.9,100,0 TỶ,0,0,21/03/2024
HPX,7.0,0.45 (6.87 %),6.55,7.0,7.0,7.0,414600,2.9 TỶ,22381300,136837543000,21/03/2024
TCB,45.1,2.80 (6.62 %),42.3,42.6,45.1,42.6,16923300,737.02 TỶ,2717300,120681660000,21/03/2024
HHS,9.33,0.53 (6.02 %),8.8,9.0,9.41,8.75,10511500,96.14 TỶ,0,0,21/03/2024
HDB,23.9,1.30 (5.75 %),22.6,22.65,23.9,22.55,11192400,259.41 TỶ,4136600,93064400000,21/03/2024
SVI,74.3,3.90 (5.54 %),70.4,74.3,74.3,74.3,100,0.01 TỶ,0,0,21/03/2024
SFC,22.0,1.05 (5.01 %),20.95,20.1,22.0,20.1,600,0.01 TỶ,0,0,21/03/2024
KBC,34.5,1.60 (4.86 %),32.9,33.5,34.8,33.05,28696100,974.78 TỶ,0,0,21/03/2024
KHG,6.39,0.29 (4.75 %),6.1,6.11,6.4,6.07,11697300,73.24 TỶ,0,0,21/03/2024
SGT,12.35,0.55 (4.66 %),11.8,11.8,12.4,11.8,49700,0.6 TỶ,0,0,21/03/2024
FIR,9.58,0.41 (4.47 %),9.17,9.16,9.58,9.15,2126800,19.89 TỶ,0,0,21/03/2024
DIG,31.7,1.30 (4.28 %),30.4,30.9,32.1,29.9,44811900,"1,387.11 TỶ",0,0,21/03/2024
DXS,7.4,0.30 (4.23 %),7.1,7.13,7.48,7.08,5412600,39.26 TỶ,0,0,21/03/2024
CMX,9.16,0.37 (4.21 %),8.79,8.9,9.19,8.76,1713400,15.48 TỶ,719000,6320010000,21/03/2024
PTC,6.16,0.24 (4.05 %),5.92,6.16,6.33,5.94,47400,0.29 TỶ,0,0,21/03/2024
DXG,19.5,0.75 (4.00 %),18.75,18.95,19.55,18.65,38130900,732.04 TỶ,230000,4390000000,21/03/2024
HBC,8.89,0.34 (3.98 %),8.55,8.69,8.92,8.56,3084000,26.92 TỶ,0,0,21/03/2024
VSI,18.5,0.70 (3.93 %),17.8,18.5,18.5,18.5,600,0.01 TỶ,0,0,21/03/2024
AAA,11.05,0.40 (3.76 %),10.65,10.75,11.15,10.75,6737200,74.3 TỶ,0,0,21/03/2024
DC4,11.2,0.40 (3.70 %),10.8,11.0,11.2,10.8,190100,2.1 TỶ,0,0,21/03/2024
VND,24.25,0.85 (3.63 %),23.4,23.95,24.5,23.85,62510300,"1,509.65 TỶ",0,0,21/03/2024
NHA,20.9,0.70 (3.47 %),20.2,20.7,20.95,20.2,846900,17.51 TỶ,0,0,21/03/2024
LCG,13.85,0.45 (3.36 %),13.4,13.6,13.85,13.5,9024400,123.51 TỶ,100000,1400000000,21/03/2024
ADS,13.9,0.45 (3.35 %),13.45,13.55,13.9,13.4,1159300,15.86 TỶ,0,0,21/03/2024
NVL,17.1,0.55 (3.32 %),16.55,16.8,17.1,16.6,42479800,718.88 TỶ,0,0,21/03/2024
KSB,26.5,0.85 (3.31 %),25.65,26.0,26.5,25.65,3285400,86.01 TỶ,0,0,21/03/2024
LDG,3.15,0.10 (3.28 %),3.05,3.07,3.17,3.05,3712400,11.53 TỶ,0,0,21/03/2024
CRE,8.98,0.28 (3.22 %),8.7,8.75,8.98,8.74,929800,8.26 TỶ,0,0,21/03/2024
NBB,25.8,0.80 (3.20 %),25.0,25.1,25.8,24.45,502500,12.7 TỶ,0,0,21/03/2024
DRH,4.88,0.15 (3.17 %),4.73,4.76,4.88,4.75,1869300,9.02 TỶ,0,0,21/03/2024
CSM,14.95,0.45 (3.10 %),14.5,14.8,14.95,14.5,46100,0.68 TỶ,0,0,21/03/2024
FDC,13.3,0.40 (3.10 %),12.9,13.8,13.8,13.3,300,0 TỶ,0,0,21/03/2024
HAX,15.45,0.45 (3.00 %),15.0,15.05,15.45,15.0,759600,11.58 TỶ,0,0,21/03/2024
VIB,24.3,0.70 (2.97 %),23.6,23.9,24.4,23.65,10263400,246.49 TỶ,160001,3711901950,21/03/2024
DMC,64.0,1.80 (2.89 %),62.2,62.2,64.0,62.2,1900,0.12 TỶ,0,0,21/03/2024
HTN,16.2,0.45 (2.86 %),15.75,16.1,16.45,15.75,2490700,40.23 TỶ,0,0,21/03/2024
VCA,9.38,0.26 (2.85 %),9.12,9.13,9.42,9.13,2100,0.02 TỶ,0,0,21/03/2024
IDI,12.75,0.35 (2.82 %),12.4,12.55,12.95,12.4,4478100,56.9 TỶ,0,0,21/03/2024
DVP,76.9,2.10 (2.81 %),74.8,76.6,77.0,75.0,35200,2.68 TỶ,0,0,21/03/2024
SCR,7.76,0.21 (2.78 %),7.55,7.64,7.87,7.53,9275400,71.53 TỶ,0,0,21/03/2024
OCB,14.9,0.40 (2.76 %),14.5,14.7,14.9,14.6,4742700,70.08 TỶ,0,0,21/03/2024
SZL,42.0,1.10 (2.69 %),40.9,42.0,42.0,41.0,2200,0.09 TỶ,0,0,21/03/2024
PLX,38.45,1.00 (2.67 %),37.45,37.5,38.7,37.15,3062200,116.64 TỶ,0,0,21/03/2024
ITC,11.8,0.30 (2.61 %),11.5,11.7,11.95,11.55,1034600,12.15 TỶ,0,0,21/03/2024
OPC,23.9,0.60 (2.58 %),23.3,23.5,24.0,23.3,12000,0.28 TỶ,0,0,21/03/2024
MBB,24.75,0.60 (2.48 %),24.15,24.3,24.75,24.1,30974800,756.56 TỶ,3559600,90339320000,21/03/2024
TTA,8.3,0.20 (2.47 %),8.1,8.5,8.5,8.14,1274200,10.62 TỶ,0,0,21/03/2024
HHV,15.5,0.35 (2.31 %),15.15,15.2,15.5,15.1,16971300,260.18 TỶ,0,0,21/03/2024
