STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
SFI,37.6,2.45 (6.97 %),35.15,35.2,37.6,35.2,84600,3.14 TỶ,0,0,08/03/2024
VRC,9.87,0.64 (6.93 %),9.23,9.87,9.87,9.26,461200,4.55 TỶ,0,0,08/03/2024
DMC,60.4,3.90 (6.90 %),56.5,58.0,60.4,57.9,61200,3.58 TỶ,0,0,08/03/2024
SMC,12.0,0.70 (6.19 %),11.3,11.6,12.05,11.55,2467300,29.44 TỶ,0,0,08/03/2024
CKG,23.5,1.30 (5.86 %),22.2,23.65,23.75,23.05,385300,9.06 TỶ,0,0,08/03/2024
CCL,9.1,0.50 (5.81 %),8.6,8.68,9.19,8.59,485200,4.33 TỶ,0,0,08/03/2024
DRC,34.3,1.85 (5.70 %),32.45,32.5,34.7,32.0,4098900,137.19 TỶ,0,0,08/03/2024
STK,29.7,1.45 (5.13 %),28.25,28.4,29.85,28.4,206900,6.06 TỶ,0,0,08/03/2024
DGW,60.3,2.30 (3.97 %),58.0,58.8,62.0,57.6,7266200,436.36 TỶ,0,0,08/03/2024
FDC,13.5,0.50 (3.85 %),13.0,12.15,13.85,12.1,2200,0.03 TỶ,0,0,08/03/2024
PAN,24.65,0.85 (3.57 %),23.8,23.8,24.9,23.45,5455500,131.63 TỶ,0,0,08/03/2024
DCM,35.9,1.10 (3.16 %),34.8,35.2,36.3,34.95,11193600,398.53 TỶ,0,0,08/03/2024
AGR,21.0,0.60 (2.94 %),20.4,21.0,21.35,20.5,5475700,114.18 TỶ,0,0,08/03/2024
HDG,29.2,0.80 (2.82 %),28.4,28.5,29.6,28.15,5975300,173.46 TỶ,0,0,08/03/2024
SFG,14.8,0.40 (2.78 %),14.4,14.4,15.1,14.0,59100,0.89 TỶ,0,0,08/03/2024
IJC,15.4,0.40 (2.67 %),15.0,15.1,15.65,15.05,8163100,125.74 TỶ,0,0,08/03/2024
AAM,9.44,0.24 (2.61 %),9.2,9.46,9.46,9.19,14200,0.13 TỶ,0,0,08/03/2024
TDP,33.8,0.80 (2.42 %),33.0,32.5,33.8,32.5,108600,3.55 TỶ,0,0,08/03/2024
LGC,59.9,1.40 (2.39 %),58.5,59.9,59.9,59.9,1000,0.06 TỶ,0,0,08/03/2024
PAC,31.2,0.70 (2.30 %),30.5,30.2,31.2,30.2,1500,0.05 TỶ,0,0,08/03/2024
HVN,13.4,0.30 (2.29 %),13.1,13.05,13.65,12.9,1019600,13.45 TỶ,1159000,15570550000,08/03/2024
ITD,9.86,0.21 (2.18 %),9.65,9.65,9.93,9.5,18800,0.18 TỶ,0,0,08/03/2024
SCS,80.0,1.70 (2.17 %),78.3,78.3,81.0,77.9,199800,15.8 TỶ,100000,7850000000,08/03/2024
SVD,2.53,0.05 (2.02 %),2.48,2.49,2.55,2.39,51100,0.12 TỶ,0,0,08/03/2024
PHR,56.2,1.10 (2.00 %),55.1,55.5,56.6,54.8,835200,46.57 TỶ,188000,9644400000,08/03/2024
CSM,13.1,0.20 (1.55 %),12.9,12.9,13.2,12.8,46800,0.61 TỶ,0,0,08/03/2024
PET,26.3,0.40 (1.54 %),25.9,25.8,26.8,25.6,1378400,36.29 TỶ,0,0,08/03/2024
NHA,18.15,0.25 (1.40 %),17.9,18.0,18.7,17.85,830000,15.17 TỶ,0,0,08/03/2024
FCN,15.3,0.20 (1.32 %),15.1,15.1,15.65,14.95,8558100,131.07 TỶ,0,0,08/03/2024
QCG,9.4,0.12 (1.29 %),9.28,9.28,9.45,9.14,580000,5.39 TỶ,0,0,08/03/2024
SVI,65.8,0.80 (1.23 %),65.0,65.8,65.8,65.8,500,0.03 TỶ,0,0,08/03/2024
VCA,9.5,0.11 (1.17 %),9.39,9.49,9.5,9.45,9900,0.09 TỶ,0,0,08/03/2024
DBC,29.4,0.30 (1.03 %),29.1,29.2,29.75,28.8,15214000,445.61 TỶ,510000,14994000000,08/03/2024
ITA,6.19,0.06 (0.98 %),6.13,6.14,6.35,6.11,4990200,30.95 TỶ,0,0,08/03/2024
SBV,11.1,0.10 (0.91 %),11.0,11.05,11.15,10.7,4600,0.05 TỶ,0,0,08/03/2024
PC1,28.25,0.25 (0.89 %),28.0,28.1,28.85,27.9,10540400,299.32 TỶ,0,0,08/03/2024
NHT,12.1,0.10 (0.83 %),12.0,12.0,12.1,12.0,3400,0.04 TỶ,0,0,08/03/2024
CTS,36.5,0.30 (0.83 %),36.2,36.75,37.55,35.9,3266500,119.98 TỶ,0,0,08/03/2024
SZC,43.1,0.35 (0.82 %),42.75,42.95,44.65,42.7,3315000,144.4 TỶ,0,0,08/03/2024
ABR,12.8,0.10 (0.79 %),12.7,12.7,12.8,12.7,800,0.01 TỶ,0,0,08/03/2024
HNG,4.19,0.03 (0.72 %),4.16,4.2,4.23,4.12,3862500,16.15 TỶ,0,0,08/03/2024
