STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
HPX,7.49,0.49 (7.00 %),7.0,7.49,7.49,7.49,2333300,17.48 TỶ,133500,967085000,22/03/2024
AGM,8.05,0.52 (6.91 %),7.53,8.05,8.05,7.62,2716900,21.72 TỶ,0,0,22/03/2024
SRC,32.4,2.00 (6.58 %),30.4,30.0,32.4,28.3,3000,0.09 TỶ,0,0,22/03/2024
GEX,24.95,1.50 (6.40 %),23.45,23.65,25.05,23.65,72084800,"1,790.79 TỶ",2618000,61148000000,22/03/2024
LGC,59.0,3.50 (6.31 %),55.5,52.5,59.0,52.5,600,0.03 TỶ,0,0,22/03/2024
BSI,62.5,3.50 (5.93 %),59.0,59.5,63.1,59.0,1924000,118.86 TỶ,0,0,22/03/2024
TCR,3.77,0.18 (5.01 %),3.59,3.78,3.78,3.69,2200,0.01 TỶ,0,0,22/03/2024
L10,21.85,0.95 (4.55 %),20.9,21.85,21.85,21.85,100,0 TỶ,0,0,22/03/2024
TPC,5.76,0.24 (4.35 %),5.52,5.76,5.76,5.76,2000,0.01 TỶ,0,0,22/03/2024
ILB,32.9,1.30 (4.11 %),31.6,31.5,32.9,31.5,20200,0.65 TỶ,0,0,22/03/2024
KBC,35.7,1.20 (3.48 %),34.5,34.85,35.9,34.2,21473100,753.99 TỶ,0,0,22/03/2024
PDN,118.8,3.80 (3.30 %),115.0,119.0,119.0,111.1,4200,0.5 TỶ,0,0,22/03/2024
AGG,23.85,0.65 (2.80 %),23.2,23.2,23.95,22.9,3329900,77.25 TỶ,0,0,22/03/2024
ASP,4.8,0.13 (2.78 %),4.67,4.76,4.92,4.7,486900,2.33 TỶ,0,0,22/03/2024
DVP,79.0,2.10 (2.73 %),76.9,77.4,79.0,77.2,36100,2.81 TỶ,0,0,22/03/2024
TVB,8.32,0.21 (2.59 %),8.11,8.12,8.49,8.12,1007500,8.37 TỶ,0,0,22/03/2024
SC5,21.0,0.50 (2.44 %),20.5,19.3,21.0,19.3,1100,0.02 TỶ,0,0,22/03/2024
PDR,31.5,0.75 (2.44 %),30.75,31.3,31.5,30.85,18784900,587.94 TỶ,0,0,22/03/2024
HSG,23.25,0.55 (2.42 %),22.7,22.85,23.45,22.7,31322600,723.78 TỶ,0,0,22/03/2024
EVE,14.9,0.35 (2.41 %),14.55,14.6,15.0,14.45,225300,3.32 TỶ,0,0,22/03/2024
CTG,35.7,0.80 (2.29 %),34.9,35.1,36.4,35.0,15958000,571.15 TỶ,58800,2171080000,22/03/2024
TIP,26.8,0.60 (2.29 %),26.2,26.3,27.15,26.3,1253100,33.54 TỶ,0,0,22/03/2024
BID,54.2,1.20 (2.26 %),53.0,53.3,56.7,53.3,4361200,241.2 TỶ,0,0,22/03/2024
PGD,37.7,0.80 (2.17 %),36.9,37.2,37.7,37.2,2200,0.08 TỶ,0,0,22/03/2024
ABT,34.7,0.70 (2.06 %),34.0,34.0,35.0,34.0,9100,0.31 TỶ,0,0,22/03/2024
SFG,12.9,0.25 (1.98 %),12.65,12.65,13.4,12.65,13600,0.17 TỶ,0,0,22/03/2024
REE,64.1,1.20 (1.91 %),62.9,63.9,64.9,63.2,1679100,107.43 TỶ,125351,8332122300,22/03/2024
NVT,8.05,0.15 (1.90 %),7.9,7.9,8.05,7.8,14100,0.11 TỶ,0,0,22/03/2024
GTA,13.5,0.25 (1.89 %),13.25,13.25,13.5,12.9,47200,0.61 TỶ,0,0,22/03/2024
ACC,13.55,0.25 (1.88 %),13.3,13.4,13.6,13.35,123700,1.66 TỶ,0,0,22/03/2024
CTS,38.05,0.70 (1.87 %),37.35,37.6,38.75,37.3,2605600,99.54 TỶ,23000,805000000,22/03/2024
DXG,19.85,0.35 (1.79 %),19.5,19.8,19.85,19.3,30550900,598.28 TỶ,320000,6300000000,22/03/2024
BCE,5.9,0.10 (1.72 %),5.8,5.9,5.95,5.8,50900,0.3 TỶ,0,0,22/03/2024
TNA,5.94,0.10 (1.71 %),5.84,5.84,5.99,5.8,69700,0.41 TỶ,0,0,22/03/2024
GEG,13.35,0.20 (1.52 %),13.15,13.15,13.45,13.15,912200,12.17 TỶ,0,0,22/03/2024
SRF,10.15,0.15 (1.50 %),10.0,10.0,10.5,9.71,60800,0.61 TỶ,0,0,22/03/2024
FTS,61.6,0.90 (1.48 %),60.7,61.0,62.8,60.6,2348000,145.05 TỶ,0,0,22/03/2024
BMI,24.2,0.35 (1.47 %),23.85,23.85,24.25,23.75,340000,8.18 TỶ,0,0,22/03/2024
PVP,14.0,0.20 (1.45 %),13.8,13.9,14.1,13.85,1049100,14.67 TỶ,0,0,22/03/2024
AGR,21.1,0.30 (1.44 %),20.8,20.9,21.5,20.75,3695700,78.24 TỶ,0,0,22/03/2024
ST8,10.85,0.15 (1.40 %),10.7,10.7,11.2,10.7,914100,9.99 TỶ,0,0,22/03/2024
KMR,3.63,0.05 (1.40 %),3.58,3.58,3.65,3.58,199300,0.72 TỶ,0,0,22/03/2024
D2D,42.3,0.55 (1.32 %),41.75,44.65,44.65,41.75,112900,4.88 TỶ,0,0,22/03/2024
VHC,77.3,1.00 (1.31 %),76.3,76.3,78.4,75.6,996900,76.44 TỶ,0,0,22/03/2024
DLG,2.39,0.03 (1.27 %),2.36,2.36,2.41,2.35,3370600,8.04 TỶ,0,0,22/03/2024
VCB,96.4,1.20 (1.26 %),95.2,95.2,96.8,95.2,1844100,177.32 TỶ,44900,4520410000,22/03/2024
SAV,16.15,0.20 (1.25 %),15.95,16.05,16.45,15.6,262400,4.15 TỶ,0,0,22/03/2024
FCN,16.25,0.20 (1.25 %),16.05,16.3,16.45,15.95,4417900,71.45 TỶ,0,0,22/03/2024
HCM,28.6,0.35 (1.24 %),28.25,28.45,28.95,28.3,11751800,336.14 TỶ,0,0,22/03/2024
MWG,49.1,0.60 (1.24 %),48.5,48.7,49.4,48.0,12080800,588.94 TỶ,2504600,117287820000,22/03/2024
MBB,25.05,0.30 (1.21 %),24.75,25.0,25.7,24.85,41534600,"1,049.73 TỶ",208100,5444370000,22/03/2024
NAF,16.8,0.20 (1.20 %),16.6,16.95,16.95,16.4,256500,4.26 TỶ,0,0,22/03/2024
PLP,5.11,0.06 (1.19 %),5.05,5.05,5.17,5.05,79900,0.41 TỶ,0,0,22/03/2024
NNC,17.6,0.20 (1.15 %),17.4,17.55,17.7,17.5,24000,0.42 TỶ,0,0,22/03/2024
EVG,6.16,0.07 (1.15 %),6.09,6.13,6.39,6.01,4074100,25.03 TỶ,0,0,22/03/2024
KPF,4.46,0.05 (1.13 %),4.41,4.44,4.53,4.4,343400,1.53 TỶ,0,0,22/03/2024
CKG,22.6,0.25 (1.12 %),22.35,22.35,22.7,22.35,68400,1.54 TỶ,0,0,22/03/2024
EIB,18.4,0.20 (1.10 %),18.2,18.3,18.7,18.2,19831600,366.9 TỶ,9238278,167177204000,22/03/2024
YBM,9.3,0.10 (1.09 %),9.2,9.4,9.4,9.2,32200,0.3 TỶ,0,0,22/03/2024
AAM,9.4,0.10 (1.08 %),9.3,9.29,9.5,9.29,4700,0.04 TỶ,0,0,22/03/2024
DGW,67.0,0.70 (1.06 %),66.3,66.8,68.3,65.6,2722500,181.36 TỶ,0,0,22/03/2024
NT2,24.55,0.25 (1.03 %),24.3,24.3,24.7,24.3,594800,14.59 TỶ,0,0,22/03/2024
VSH,49.5,0.50 (1.02 %),49.0,49.0,49.5,48.0,46800,2.28 TỶ,0,0,22/03/2024
MSB,15.05,0.15 (1.01 %),14.9,15.0,15.4,14.9,14603000,221.14 TỶ,2900000,43192000000,22/03/2024
HPG,30.55,0.30 (0.99 %),30.25,30.35,30.7,30.2,37384100,"1,139.79 TỶ",317200,9901100000,22/03/2024
VTB,10.55,0.10 (0.96 %),10.45,10.35,10.55,10.2,5700,0.06 TỶ,0,0,22/03/2024
CTI,16.1,0.15 (0.94 %),15.95,16.0,16.35,15.9,1048900,16.94 TỶ,0,0,22/03/2024
VPG,16.7,0.15 (0.91 %),16.55,16.7,17.1,16.7,1666700,28.13 TỶ,0,0,22/03/2024
TVT,17.1,0.15 (0.88 %),16.95,17.3,17.3,17.1,8300,0.14 TỶ,0,0,22/03/2024
POW,11.5,0.10 (0.88 %),11.4,11.4,11.55,11.35,8793500,100.78 TỶ,42400,511040000,22/03/2024
SHB,11.55,0.10 (0.87 %),11.45,11.55,11.7,11.45,26765800,310.12 TỶ,212600,2572460000,22/03/2024
ANV,35.05,0.30 (0.86 %),34.75,35.1,35.25,34.5,2296200,80.03 TỶ,0,0,22/03/2024
SMC,12.15,0.10 (0.83 %),12.05,12.3,12.35,11.9,893500,10.82 TỶ,0,0,22/03/2024
ICT,12.2,0.10 (0.83 %),12.1,12.15,12.35,11.95,18400,0.22 TỶ,0,0,22/03/2024
