STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
TCO,11.5,0.75 (6.98 %),10.75,11.35,11.5,11.2,139800,1.6 TỶ,0,0,14/03/2024
PIT,7.13,0.46 (6.90 %),6.67,6.68,7.13,6.68,43800,0.31 TỶ,0,0,14/03/2024
PVT,28.85,1.85 (6.85 %),27.0,27.25,28.85,27.05,16634400,473.93 TỶ,25000,672500000,14/03/2024
BBC,54.9,3.50 (6.81 %),51.4,52.6,54.9,52.6,300,0.02 TỶ,0,0,14/03/2024
IJC,16.55,1.05 (6.77 %),15.5,15.65,16.55,15.5,11646100,189.48 TỶ,0,0,14/03/2024
STK,33.1,2.10 (6.77 %),31.0,31.5,33.15,30.95,226000,7.39 TỶ,0,0,14/03/2024
HUB,20.5,1.30 (6.77 %),19.2,20.5,20.5,20.45,239500,4.91 TỶ,0,0,14/03/2024
PDN,116.0,7.00 (6.42 %),109.0,116.0,116.0,109.3,1600,0.18 TỶ,0,0,14/03/2024
YBM,9.3,0.50 (5.68 %),8.8,8.8,9.4,8.8,2500,0.02 TỶ,0,0,14/03/2024
SBA,33.8,1.80 (5.62 %),32.0,32.7,33.8,32.0,17700,0.59 TỶ,325000,9750000000,14/03/2024
PGD,39.0,1.90 (5.12 %),37.1,37.2,39.65,37.1,30200,1.17 TỶ,0,0,14/03/2024
PVD,32.9,1.55 (4.94 %),31.35,31.8,33.5,31.7,16354900,536.69 TỶ,0,0,14/03/2024
GIL,36.35,1.70 (4.91 %),34.65,35.0,37.05,35.0,2134500,77.17 TỶ,0,0,14/03/2024
YEG,11.0,0.50 (4.76 %),10.5,10.55,11.0,10.4,4182800,44.84 TỶ,0,0,14/03/2024
CNG,33.2,1.50 (4.73 %),31.7,32.0,33.75,31.8,1604000,53.23 TỶ,0,0,14/03/2024
