STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
HPX,6.55,1.09 (19.96 %),5.46,6.55,6.55,6.55,1391300,9.11 TỶ,0,0,20/03/2024
D2D,39.05,2.55 (6.99 %),36.5,39.05,39.05,38.8,212600,8.3 TỶ,0,0,20/03/2024
DXV,4.01,0.26 (6.93 %),3.75,3.76,4.01,3.76,258300,1.03 TỶ,0,0,20/03/2024
TDW,48.8,3.15 (6.90 %),45.65,48.8,48.8,48.8,800,0.04 TỶ,0,0,20/03/2024
VIB,23.6,1.50 (6.79 %),22.1,22.35,23.6,22.0,27152800,632.14 TỶ,192600,4281450000,20/03/2024
HAG,12.65,0.80 (6.75 %),11.85,11.95,12.65,11.75,27179100,335.79 TỶ,100000,1105000000,20/03/2024
LGC,59.4,3.70 (6.64 %),55.7,59.4,59.4,59.4,500,0.03 TỶ,0,0,20/03/2024
TCH,14.95,0.80 (5.65 %),14.15,14.2,14.95,14.05,21913100,317.83 TỶ,0,0,20/03/2024
SRC,32.6,1.70 (5.50 %),30.9,30.9,33.0,28.8,36800,1.2 TỶ,0,0,20/03/2024
MWG,48.0,2.50 (5.49 %),45.5,45.6,48.65,45.6,20639900,982.3 TỶ,399600,18199280000,20/03/2024
LPB,17.0,0.85 (5.26 %),16.15,16.2,17.0,16.15,6336100,105.51 TỶ,23000,385250000,20/03/2024
SSC,32.6,1.60 (5.16 %),31.0,30.85,32.6,30.85,200,0.01 TỶ,0,0,20/03/2024
HNG,4.39,0.21 (5.02 %),4.18,4.18,4.39,4.17,5476900,23.53 TỶ,0,0,20/03/2024
TCB,42.3,2.00 (4.96 %),40.3,40.4,42.45,40.05,16882000,702.03 TỶ,1357500,56132530000,20/03/2024
VCI,53.2,2.50 (4.93 %),50.7,51.0,53.4,50.6,9866800,513.77 TỶ,25000,1187500000,20/03/2024
FCN,16.2,0.70 (4.52 %),15.5,15.55,16.2,15.5,2312100,36.68 TỶ,0,0,20/03/2024
SFC,20.95,0.85 (4.23 %),20.1,20.95,20.95,20.95,6000,0.13 TỶ,0,0,20/03/2024
MBB,24.15,0.95 (4.09 %),23.2,23.2,24.4,23.1,39357200,941.6 TỶ,818100,18973380000,20/03/2024
VIX,20.0,0.70 (3.63 %),19.3,19.4,20.0,19.2,28825700,563.15 TỶ,150000,2895000000,20/03/2024
PMG,8.7,0.30 (3.57 %),8.4,8.9,8.9,8.7,200,0 TỶ,0,0,20/03/2024
PNC,8.9,0.30 (3.49 %),8.6,9.1,9.1,8.9,3100,0.03 TỶ,0,0,20/03/2024
GEX,23.3,0.75 (3.33 %),22.55,22.7,23.3,22.5,21957000,505.46 TỶ,50000,1050000000,20/03/2024
DGC,122.8,3.80 (3.19 %),119.0,119.9,123.7,118.6,2914900,353.2 TỶ,22700,2837500000,20/03/2024
CTG,34.35,1.05 (3.15 %),33.3,33.2,34.5,33.0,9484900,323.06 TỶ,438800,14494440000,20/03/2024
MSB,14.8,0.45 (3.14 %),14.35,14.35,14.8,14.3,10665000,155.71 TỶ,90000,1201500000,20/03/2024
HUB,19.9,0.60 (3.11 %),19.3,19.3,19.95,19.3,165200,3.23 TỶ,0,0,20/03/2024
NHA,20.2,0.60 (3.06 %),19.6,19.8,20.45,19.4,701100,14.03 TỶ,0,0,20/03/2024
PET,28.85,0.85 (3.04 %),28.0,28.2,28.95,27.7,1194100,33.86 TỶ,0,0,20/03/2024
OGC,6.8,0.20 (3.03 %),6.6,6.61,6.92,6.61,637000,4.31 TỶ,0,0,20/03/2024
TVT,17.3,0.50 (2.98 %),16.8,16.8,17.3,16.8,3500,0.06 TỶ,0,0,20/03/2024
SSI,37.2,1.05 (2.90 %),36.15,36.4,37.2,36.25,16364200,600.08 TỶ,77000,2618000000,20/03/2024
VNL,14.35,0.40 (2.87 %),13.95,14.4,14.4,14.1,43100,0.62 TỶ,0,0,20/03/2024
NAV,16.75,0.45 (2.76 %),16.3,16.5,16.75,16.5,5200,0.09 TỶ,0,0,20/03/2024
VPB,18.65,0.50 (2.75 %),18.15,18.2,18.65,18.2,11504800,212.28 TỶ,2573100,47093010000,20/03/2024
BID,53.0,1.40 (2.71 %),51.6,51.6,53.1,50.5,3132600,163.66 TỶ,0,0,20/03/2024
CCI,23.0,0.60 (2.68 %),22.4,21.8,23.0,21.8,10500,0.24 TỶ,0,0,20/03/2024
CTS,37.35,0.95 (2.61 %),36.4,36.1,37.35,36.1,1530400,56.54 TỶ,26500,1007000000,20/03/2024
RAL,123.1,3.10 (2.58 %),120.0,122.0,124.0,122.0,23500,2.89 TỶ,0,0,20/03/2024
GTA,14.05,0.35 (2.55 %),13.7,13.7,14.05,13.7,200,0 TỶ,0,0,20/03/2024
PVD,32.25,0.80 (2.54 %),31.45,31.75,32.25,31.5,4752400,151.84 TỶ,0,0,20/03/2024
DGW,65.8,1.60 (2.49 %),64.2,64.1,66.5,64.1,2812600,184.05 TỶ,0,0,20/03/2024
AGR,20.75,0.50 (2.47 %),20.25,20.3,20.9,20.1,1935400,39.69 TỶ,0,0,20/03/2024
STB,31.15,0.75 (2.47 %),30.4,30.4,31.25,30.15,28145900,867.56 TỶ,136900,3915340000,20/03/2024
VGC,58.4,1.40 (2.46 %),57.0,57.1,58.4,56.8,1130000,64.94 TỶ,0,0,20/03/2024
TVB,8.01,0.19 (2.43 %),7.82,7.83,8.02,7.77,400700,3.16 TỶ,0,0,20/03/2024
HHP,10.55,0.25 (2.43 %),10.3,10.3,10.6,10.3,276000,2.87 TỶ,0,0,20/03/2024
ACB,27.5,0.65 (2.42 %),26.85,26.85,27.7,26.8,14002400,383.24 TỶ,339800,8912960000,20/03/2024
AAM,9.35,0.22 (2.41 %),9.13,9.2,9.4,9.2,6000,0.06 TỶ,0,0,20/03/2024
ORS,17.2,0.40 (2.38 %),16.8,16.8,17.3,16.75,2617000,44.39 TỶ,0,0,20/03/2024
APG,15.65,0.35 (2.29 %),15.3,15.2,15.7,15.2,309700,4.81 TỶ,1935000,27573750000,20/03/2024
TCR,3.59,0.08 (2.28 %),3.51,3.71,3.71,3.59,300,0 TỶ,0,0,20/03/2024
CTD,71.9,1.60 (2.28 %),70.3,71.2,71.9,70.2,1641700,116.51 TỶ,0,0,20/03/2024
BKG,4.52,0.10 (2.26 %),4.42,4.42,4.52,4.39,439500,1.95 TỶ,0,0,20/03/2024
BSI,58.8,1.30 (2.26 %),57.5,57.5,58.8,57.5,400100,23.33 TỶ,0,0,20/03/2024
HDC,34.25,0.75 (2.24 %),33.5,33.55,34.7,33.0,6242500,212.07 TỶ,60000,2034000000,20/03/2024
FPT,114.5,2.50 (2.23 %),112.0,112.3,115.0,111.1,3475700,392.25 TỶ,388900,45449070000,20/03/2024
PLP,5.05,0.11 (2.23 %),4.94,4.95,5.19,4.95,117000,0.59 TỶ,0,0,20/03/2024
TPB,18.6,0.40 (2.20 %),18.2,18.2,18.75,17.95,15977100,294.22 TỶ,3025901,54965906950,20/03/2024
BTT,32.7,0.70 (2.19 %),32.0,30.1,32.7,30.1,700,0.02 TỶ,0,0,20/03/2024
PC1,28.5,0.60 (2.15 %),27.9,27.95,28.75,27.9,5910800,167.78 TỶ,0,0,20/03/2024
SRF,9.8,0.20 (2.08 %),9.6,9.12,9.8,9.12,110000,1.03 TỶ,0,0,20/03/2024
HCM,27.95,0.55 (2.01 %),27.4,27.45,27.95,27.15,6133000,169.11 TỶ,0,0,20/03/2024
AGG,23.45,0.45 (1.96 %),23.0,23.05,23.6,23.05,1871400,43.74 TỶ,0,0,20/03/2024
CTI,15.85,0.30 (1.93 %),15.55,15.5,15.85,15.5,419100,6.56 TỶ,0,0,20/03/2024
GMC,9.08,0.17 (1.91 %),8.91,8.6,9.22,8.3,11100,0.1 TỶ,0,0,20/03/2024
NLG,42.8,0.80 (1.90 %),42.0,42.4,42.8,41.65,3240300,136.66 TỶ,0,0,20/03/2024
VPI,58.9,1.10 (1.90 %),57.8,57.8,59.0,57.0,1202800,69.49 TỶ,1130000,64975000000,20/03/2024
EVF,16.5,0.30 (1.85 %),16.2,16.3,16.6,15.95,7337900,118.83 TỶ,0,0,20/03/2024
