STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
BSI,58.2,3.80 (6.99 %),54.4,54.9,58.2,54.8,2384200,137.13 TỶ,0,0,01/03/2024
HDG,28.4,1.85 (6.97 %),26.55,26.75,28.4,26.5,6856600,188.97 TỶ,0,0,01/03/2024
LCG,13.9,0.90 (6.92 %),13.0,13.1,13.9,12.95,21746500,295.89 TỶ,0,0,01/03/2024
BKG,4.98,0.32 (6.87 %),4.66,4.98,4.98,4.98,363500,1.81 TỶ,0,0,01/03/2024
SFG,15.05,0.95 (6.74 %),14.1,14.6,15.05,13.85,183100,2.71 TỶ,0,0,01/03/2024
DGW,59.2,3.40 (6.09 %),55.8,55.8,59.5,55.7,7835900,458.39 TỶ,0,0,01/03/2024
GMD,80.5,4.50 (5.92 %),76.0,76.4,81.2,75.2,2990100,234.5 TỶ,0,0,01/03/2024
PNJ,95.7,5.30 (5.86 %),90.4,90.4,96.4,90.3,4273800,402.12 TỶ,245125,23703587500,01/03/2024
MDG,12.9,0.60 (4.88 %),12.3,12.8,12.9,12.8,500,0.01 TỶ,0,0,01/03/2024
KSB,26.8,1.10 (4.28 %),25.7,25.8,26.95,25.5,4196600,110.84 TỶ,0,0,01/03/2024
ELC,22.6,0.90 (4.15 %),21.7,21.7,22.9,21.5,1386300,30.83 TỶ,0,0,01/03/2024
GEX,23.2,0.90 (4.04 %),22.3,22.4,23.2,22.25,36709900,837.4 TỶ,25000,562500000,01/03/2024
PTB,59.8,2.20 (3.82 %),57.6,57.9,60.0,57.9,1392200,82.37 TỶ,0,0,01/03/2024
CCI,23.4,0.85 (3.77 %),22.55,23.4,23.4,23.4,100,0 TỶ,0,0,01/03/2024
AGR,18.1,0.65 (3.72 %),17.45,17.65,18.5,17.5,3489000,62.87 TỶ,0,0,01/03/2024
CTD,69.0,2.30 (3.45 %),66.7,66.8,69.0,66.8,4060400,277.52 TỶ,0,0,01/03/2024
ABT,36.2,1.20 (3.43 %),35.0,36.0,36.2,36.0,3700,0.13 TỶ,0,0,01/03/2024
CTS,33.25,1.10 (3.42 %),32.15,32.5,34.0,32.5,3078400,102.42 TỶ,0,0,01/03/2024
TV2,40.9,1.30 (3.28 %),39.6,39.95,41.2,39.3,792400,32.11 TỶ,0,0,01/03/2024
VIX,18.9,0.60 (3.28 %),18.3,18.35,18.95,18.35,38393700,720.15 TỶ,562900,9597445000,01/03/2024
