STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
SVI,70.4,4.60 (6.99 %),65.8,70.4,70.4,70.4,100,0.01 TỶ,0,0,13/03/2024
DGC,127.2,8.30 (6.98 %),118.9,120.5,127.2,119.5,3805200,477.24 TỶ,0,0,13/03/2024
ADS,13.8,0.90 (6.98 %),12.9,12.95,13.8,12.8,2101700,28.38 TỶ,0,0,13/03/2024
TCO,10.75,0.70 (6.97 %),10.05,10.7,10.75,10.3,107900,1.15 TỶ,0,0,13/03/2024
HUB,19.2,1.25 (6.96 %),17.95,17.8,19.2,17.8,378700,7.24 TỶ,0,0,13/03/2024
TV2,42.25,2.75 (6.96 %),39.5,40.15,42.25,39.55,2151000,89.55 TỶ,0,0,13/03/2024
GIL,34.65,2.25 (6.94 %),32.4,32.65,34.65,32.5,3253600,111.37 TỶ,0,0,13/03/2024
CTD,75.7,4.90 (6.92 %),70.8,71.4,75.7,71.2,4734100,352.19 TỶ,0,0,13/03/2024
VIX,20.1,1.30 (6.91 %),18.8,18.85,20.1,18.85,37286500,729.69 TỶ,0,0,13/03/2024
VDS,21.7,1.40 (6.90 %),20.3,20.5,21.7,20.45,4145000,88.87 TỶ,0,0,13/03/2024
PIT,6.67,0.43 (6.89 %),6.24,6.24,6.67,6.24,17400,0.11 TỶ,0,0,13/03/2024
VGC,59.0,3.80 (6.88 %),55.2,56.0,59.0,55.4,4442200,257.51 TỶ,0,0,13/03/2024
ORS,17.9,1.15 (6.87 %),16.75,16.9,17.9,16.75,11546000,201.42 TỶ,0,0,13/03/2024
VCI,51.6,3.30 (6.83 %),48.3,48.7,51.6,48.35,13475100,677.32 TỶ,0,0,13/03/2024
ICT,12.55,0.80 (6.81 %),11.75,11.85,12.55,11.8,190700,2.38 TỶ,0,0,13/03/2024
CLC,41.45,2.60 (6.69 %),38.85,39.0,41.5,39.0,12000,0.47 TỶ,0,0,13/03/2024
VRC,12.0,0.75 (6.67 %),11.25,12.0,12.0,12.0,164500,1.97 TỶ,0,0,13/03/2024
NBB,24.5,1.50 (6.52 %),23.0,23.0,24.5,23.0,323600,7.76 TỶ,0,0,13/03/2024
NO1,9.9,0.60 (6.45 %),9.3,9.1,9.95,9.0,386400,3.64 TỶ,0,0,13/03/2024
VID,6.0,0.35 (6.19 %),5.65,5.69,6.04,5.69,45000,0.27 TỶ,0,0,13/03/2024
NHA,18.9,1.10 (6.18 %),17.8,17.8,18.9,17.75,887100,16.32 TỶ,0,0,13/03/2024
TCT,27.3,1.55 (6.02 %),25.75,25.2,27.3,25.2,43400,1.14 TỶ,0,0,13/03/2024
CTS,38.9,2.05 (5.56 %),36.85,37.0,39.0,36.65,2819700,106.7 TỶ,0,0,13/03/2024
TVT,17.4,0.90 (5.45 %),16.5,16.7,17.5,16.7,10400,0.18 TỶ,0,0,13/03/2024
BFC,32.35,1.65 (5.37 %),30.7,31.05,32.8,30.75,711600,22.9 TỶ,0,0,13/03/2024
TCR,3.89,0.19 (5.14 %),3.7,3.5,3.89,3.5,2800,0.01 TỶ,0,0,13/03/2024
VAF,14.9,0.70 (4.93 %),14.2,14.5,15.0,14.3,15400,0.23 TỶ,0,0,13/03/2024
TLG,49.2,2.30 (4.90 %),46.9,46.95,49.45,46.95,570400,27.82 TỶ,0,0,13/03/2024
BSI,61.4,2.80 (4.78 %),58.6,58.6,62.0,58.6,901400,54.46 TỶ,0,0,13/03/2024
NLG,44.5,2.00 (4.71 %),42.5,42.9,44.75,42.6,6057000,265.46 TỶ,0,0,13/03/2024
HTN,15.7,0.70 (4.67 %),15.0,15.1,15.75,14.95,1630500,24.85 TỶ,0,0,13/03/2024
FPT,117.0,5.10 (4.56 %),111.9,112.8,117.0,112.0,5114200,588.11 TỶ,0,0,13/03/2024
SSI,37.95,1.65 (4.55 %),36.3,36.4,38.1,36.3,35787800,"1,334.28 TỶ",0,0,13/03/2024
LEC,6.37,0.27 (4.43 %),6.1,6.37,6.37,6.37,100,0 TỶ,0,0,13/03/2024
HHP,10.75,0.45 (4.37 %),10.3,10.3,10.95,10.2,741400,7.87 TỶ,0,0,13/03/2024
AGR,21.8,0.90 (4.31 %),20.9,21.0,21.9,20.7,3894500,83.48 TỶ,0,0,13/03/2024
VHC,78.1,3.20 (4.27 %),74.9,76.0,79.9,75.4,1228500,95.61 TỶ,0,0,13/03/2024
DBC,32.0,1.30 (4.23 %),30.7,30.85,32.0,30.55,17142300,534.04 TỶ,0,0,13/03/2024
VND,23.55,0.95 (4.20 %),22.6,22.7,23.6,22.55,35096500,808.59 TỶ,0,0,13/03/2024
LHG,37.15,1.45 (4.06 %),35.7,36.7,37.5,36.05,542900,20.02 TỶ,0,0,13/03/2024
DAT,10.3,0.40 (4.04 %),9.9,9.76,10.3,9.76,800,0.01 TỶ,0,0,13/03/2024
IJC,15.5,0.60 (4.03 %),14.9,14.9,15.5,14.8,6346600,96.75 TỶ,0,0,13/03/2024
DGW,65.9,2.50 (3.94 %),63.4,64.3,66.5,63.5,4075100,265.4 TỶ,0,0,13/03/2024
GEX,22.85,0.85 (3.86 %),22.0,22.1,22.85,22.0,19240200,430.89 TỶ,0,0,13/03/2024
DCM,36.35,1.35 (3.86 %),35.0,35.5,36.7,35.0,8408700,304.27 TỶ,0,0,13/03/2024
MWG,48.55,1.80 (3.85 %),46.75,46.8,48.7,46.8,8934000,427.33 TỶ,0,0,13/03/2024
DHA,49.9,1.85 (3.85 %),48.05,48.2,50.0,48.1,100400,4.96 TỶ,0,0,13/03/2024
LGC,59.8,2.20 (3.82 %),57.6,59.5,60.0,57.6,400,0.02 TỶ,0,0,13/03/2024
VDP,40.0,1.45 (3.76 %),38.55,40.3,40.9,40.0,1100,0.04 TỶ,0,0,13/03/2024
HDG,29.2,1.05 (3.73 %),28.15,28.4,29.25,28.25,6768600,196.08 TỶ,0,0,13/03/2024
DXG,18.15,0.65 (3.71 %),17.5,17.5,18.2,17.5,10290400,183.28 TỶ,0,0,13/03/2024
TVB,7.9,0.28 (3.67 %),7.62,7.6,7.92,7.6,754000,5.84 TỶ,0,0,13/03/2024
DPM,36.8,1.30 (3.66 %),35.5,35.7,37.45,35.5,8410600,308.25 TỶ,0,0,13/03/2024
HCM,29.05,1.00 (3.57 %),28.05,28.15,29.1,27.9,10741500,306.92 TỶ,0,0,13/03/2024
VIB,22.05,0.75 (3.52 %),21.3,21.5,22.1,21.25,4027500,87.44 TỶ,0,0,13/03/2024
DPR,38.3,1.30 (3.51 %),37.0,38.0,38.5,37.8,1746100,66.51 TỶ,0,0,13/03/2024
PVD,31.35,1.05 (3.47 %),30.3,30.5,31.4,30.25,7366400,227.97 TỶ,0,0,13/03/2024
PJT,10.5,0.35 (3.45 %),10.15,10.5,10.5,10.5,17800,0.19 TỶ,0,0,13/03/2024
HSG,22.6,0.75 (3.43 %),21.85,22.0,22.7,21.85,11284600,250.47 TỶ,0,0,13/03/2024
LCG,13.6,0.45 (3.42 %),13.15,13.2,13.65,13.2,9493000,128.06 TỶ,0,0,13/03/2024
NTL,35.15,1.15 (3.38 %),34.0,34.4,35.8,34.4,1419000,49.95 TỶ,0,0,13/03/2024
ACB,27.65,0.90 (3.36 %),26.75,26.75,27.65,26.75,8935300,242.88 TỶ,0,0,13/03/2024
CMG,41.95,1.35 (3.33 %),40.6,40.95,42.8,40.85,386500,16.21 TỶ,0,0,13/03/2024
TVS,25.0,0.80 (3.31 %),24.2,24.2,25.4,23.9,310800,7.71 TỶ,0,0,13/03/2024
DPG,40.7,1.30 (3.30 %),39.4,39.7,40.7,39.4,690100,27.61 TỶ,0,0,13/03/2024
TNH,22.25,0.70 (3.25 %),21.55,21.5,22.25,21.5,554400,12.15 TỶ,0,0,13/03/2024
MBB,23.85,0.75 (3.25 %),23.1,23.1,23.85,23.1,15265200,357.66 TỶ,0,0,13/03/2024
ACG,42.5,1.30 (3.16 %),41.2,40.55,42.95,40.55,28800,1.2 TỶ,0,0,13/03/2024
ITD,10.2,0.31 (3.13 %),9.89,9.88,10.2,9.71,71700,0.72 TỶ,0,0,13/03/2024
MSH,42.8,1.30 (3.13 %),41.5,41.5,43.95,41.5,382300,16.39 TỶ,0,0,13/03/2024
IDI,13.25,0.40 (3.11 %),12.85,12.85,13.4,12.85,5322500,69.94 TỶ,0,0,13/03/2024
CNG,31.7,0.95 (3.09 %),30.75,30.8,32.0,30.65,611500,19.15 TỶ,0,0,13/03/2024
SIP,93.8,2.80 (3.08 %),91.0,94.4,94.4,91.1,355600,33.21 TỶ,0,0,13/03/2024
DHC,44.1,1.30 (3.04 %),42.8,43.4,44.5,43.1,618500,27.2 TỶ,0,0,13/03/2024
CRC,6.81,0.20 (3.03 %),6.61,6.61,7.0,6.61,106600,0.72 TỶ,0,0,13/03/2024
NKG,24.2,0.70 (2.98 %),23.5,23.5,24.4,23.45,10826600,259.11 TỶ,0,0,13/03/2024
HQC,4.35,0.12 (2.84 %),4.23,4.33,4.35,4.26,7712400,33.25 TỶ,0,0,13/03/2024
KBC,32.9,0.90 (2.81 %),32.0,32.5,32.95,32.2,12353400,402.61 TỶ,0,0,13/03/2024
GMD,80.6,2.20 (2.81 %),78.4,79.3,82.3,78.8,2526800,203.51 TỶ,0,0,13/03/2024
PC1,29.4,0.80 (2.80 %),28.6,28.85,29.4,28.8,13750000,401.51 TỶ,0,0,13/03/2024
MSN,80.9,2.20 (2.80 %),78.7,79.0,81.0,78.9,7035500,563.76 TỶ,0,0,13/03/2024
VRE,25.9,0.70 (2.78 %),25.2,25.2,25.9,24.95,8044000,203.63 TỶ,0,0,13/03/2024
ITC,11.15,0.30 (2.76 %),10.85,10.8,11.2,10.8,633000,6.99 TỶ,0,0,13/03/2024
BCG,8.63,0.23 (2.74 %),8.4,8.47,8.63,8.4,5023300,42.64 TỶ,0,0,13/03/2024
KDH,37.6,1.00 (2.73 %),36.6,36.7,37.8,36.65,6838300,255.15 TỶ,0,0,13/03/2024
TPB,19.0,0.50 (2.70 %),18.5,18.5,19.0,18.45,7641800,142.7 TỶ,0,0,13/03/2024
VPB,19.05,0.50 (2.70 %),18.55,18.65,19.1,18.6,10986000,206.09 TỶ,0,0,13/03/2024
ADG,19.5,0.50 (2.63 %),19.0,19.5,19.55,19.5,1300,0.03 TỶ,0,0,13/03/2024
REE,63.6,1.60 (2.58 %),62.0,62.6,64.2,62.3,1469600,93.19 TỶ,0,0,13/03/2024
PDR,28.15,0.70 (2.55 %),27.45,27.55,28.15,27.5,8292300,230.11 TỶ,0,0,13/03/2024
PNJ,101.5,2.50 (2.53 %),99.0,99.0,102.8,98.3,2395200,241.71 TỶ,0,0,13/03/2024
CSV,61.2,1.50 (2.51 %),59.7,60.2,63.0,59.7,955700,58.72 TỶ,0,0,13/03/2024
NVL,16.55,0.40 (2.48 %),16.15,16.3,16.55,16.25,19855000,326.49 TỶ,0,0,13/03/2024
DIG,27.0,0.65 (2.47 %),26.35,26.55,27.0,26.35,14820100,395.1 TỶ,0,0,13/03/2024
HTG,33.3,0.80 (2.46 %),32.5,32.65,34.0,32.65,73000,2.44 TỶ,0,0,13/03/2024
APG,14.7,0.35 (2.44 %),14.35,14.35,14.7,14.35,261900,3.82 TỶ,0,0,13/03/2024
CII,18.9,0.45 (2.44 %),18.45,18.6,18.9,18.5,7899300,147.91 TỶ,0,0,13/03/2024
PET,27.6,0.65 (2.41 %),26.95,27.05,27.9,27.05,1735500,47.8 TỶ,0,0,13/03/2024
OCB,15.0,0.35 (2.39 %),14.65,14.75,15.0,14.6,2134200,31.55 TỶ,0,0,13/03/2024
TCH,13.1,0.30 (2.34 %),12.8,12.85,13.1,12.8,5644800,73.16 TỶ,0,0,13/03/2024
PAN,24.3,0.55 (2.32 %),23.75,23.6,24.4,23.6,3344800,80.8 TỶ,0,0,13/03/2024
TLH,8.44,0.19 (2.30 %),8.25,8.23,8.45,8.18,1709600,14.28 TỶ,0,0,13/03/2024
FCM,4.52,0.10 (2.26 %),4.42,4.45,4.52,4.4,128900,0.57 TỶ,0,0,13/03/2024
HNA,23.0,0.50 (2.22 %),22.5,22.3,23.0,22.3,4100,0.09 TỶ,0,0,13/03/2024
DTA,5.06,0.11 (2.22 %),4.95,4.99,5.11,4.7,39900,0.2 TỶ,0,0,13/03/2024
GVR,32.3,0.70 (2.22 %),31.6,32.2,33.0,31.8,3675000,118.51 TỶ,0,0,13/03/2024
SHB,11.55,0.25 (2.21 %),11.3,11.3,11.6,11.3,14856700,170.33 TỶ,0,0,13/03/2024
VPG,16.3,0.35 (2.19 %),15.95,16.0,16.45,15.85,1209500,19.5 TỶ,0,0,13/03/2024
FTS,62.8,1.30 (2.11 %),61.5,61.7,63.1,61.4,2603000,162.44 TỶ,0,0,13/03/2024
PLX,37.1,0.75 (2.06 %),36.35,36.8,37.1,36.5,1172600,43.13 TỶ,0,0,13/03/2024
OGC,6.95,0.14 (2.06 %),6.81,6.81,6.98,6.7,600200,4.1 TỶ,0,0,13/03/2024
HTL,15.3,0.30 (2.00 %),15.0,15.1,15.3,15.0,3200,0.05 TỶ,0,0,13/03/2024
HCD,10.2,0.20 (2.00 %),10.0,10.1,10.25,9.98,700900,7.07 TỶ,0,0,13/03/2024
ANV,35.8,0.70 (1.99 %),35.1,35.5,36.7,35.15,2664400,95.67 TỶ,0,0,13/03/2024
HPG,30.8,0.60 (1.99 %),30.2,30.2,30.85,30.1,29367000,897.03 TỶ,0,0,13/03/2024
