STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CEO,21.7,0.40 (1.88 %),6691,13597500,2032,4517189,4520,15181800,3359,6101489,-1584300,13/03/2024
AMV,3.9,0.00 (0.00 %),722,2368100,3280,1887780,630,4316100,6851,3835780,-1948000,13/03/2024
APS,6.8,0.20 (3.03 %),871,1609300,1848,592957,573,2117000,3695,1100657,-507700,13/03/2024
AAV,3.9,0.20 (5.41 %),356,978100,2747,479118,358,1387100,3875,888118,-409000,13/03/2024
API,5.3,0.00 (0.00 %),231,610700,2644,413184,213,675300,3170,477784,-64600,13/03/2024
BCC,9.6,0.10 (1.05 %),438,595300,1359,357355,205,534500,2607,296555,60800,13/03/2024
C69,7.4,0.00 (0.00 %),283,687100,2428,241591,382,977000,2558,531491,-289900,13/03/2024
BLF,3.7,-0.50 (-11.90 %),91,249200,2738,223171,15,25900,1727,-129,223300,13/03/2024
BNA,11.0,0.40 (3.77 %),289,562200,1945,205297,240,471500,1965,114597,90700,13/03/2024
BVS,34.0,1.50 (4.62 %),799,1831700,2292,201727,811,2117300,2611,487327,-285600,13/03/2024
SDT,4.0,0.50 (14.29 %),31,136200,4394,76103,34,154600,4547,94503,-18400,13/03/2024
BTS,5.6,0.00 (0.00 %),49,177400,3620,65626,54,172000,3185,60226,5400,13/03/2024
BAB,12.5,0.10 (0.81 %),97,67500,696,46776,47,56000,1191,35276,11500,13/03/2024
BTW,33.5,0.00 (0.00 %),4,35700,8925,35700,1,5000,5000,5000,30700,13/03/2024
CAG,7.3,0.00 (0.00 %),37,37300,1008,34500,26,19900,765,17100,17400,13/03/2024
BCF,29.8,0.00 (0.00 %),6,12700,2117,12669,9,4000,444,3969,8700,13/03/2024
ALT,14.7,0.00 (0.00 %),12,9500,792,7462,12,4100,342,2062,5400,13/03/2024
AMC,18.4,1.00 (5.75 %),10,6000,600,5900,3,800,267,700,5200,13/03/2024
ADC,19.0,-0.70 (-3.55 %),19,3700,195,3300,9,3300,367,2900,400,13/03/2024
BAX,42.0,0.10 (0.24 %),13,6700,515,3100,14,7200,514,3600,-500,13/03/2024
BST,14.7,-0.30 (-2.00 %),4,1500,375,1388,6,2600,433,2488,-1100,13/03/2024
ATS,8.5,-0.70 (-7.61 %),9,1300,144,1100,1,200,200,0,1100,13/03/2024
BPC,9.4,0.20 (2.17 %),15,900,60,700,7,6700,957,6500,-5800,13/03/2024
CAN,49.9,0.00 (0.00 %),3,700,233,700,2,600,300,600,100,13/03/2024
AME,8.2,0.00 (0.00 %),6,600,100,600,6,4000,667,4000,-3400,13/03/2024
BBS,11.0,0.00 (0.00 %),2,400,200,400,2,3300,1650,3300,-2900,13/03/2024
BKC,6.9,0.00 (0.00 %),3,400,133,377,7,2600,371,2577,-2200,13/03/2024
ARM,29.0,-3.20 (-9.94 %),4,400,100,300,4,400,100,300,0,13/03/2024
BED,33.0,0.00 (0.00 %),1,200,200,200,0,0,-2147483648,0,200,13/03/2024
BDB,12.8,0.00 (0.00 %),1,100,100,100,1,100,100,100,0,13/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
LUT,1.6,0.50 (45.45 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
CLM,72.0,0.00 (0.00 %),0,0,-2147483648,0,4,2200,550,2200,-2200,13/03/2024
DNM,16.8,-2.10 (-11.11 %),0,0,-2147483648,0,11,4700,427,4700,-4700,13/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
BSC,12.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,13/03/2024
