STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CEO,23.4,0.80 (3.54 %),11752,40241400,3424,8727035,18902,44894700,2375,13380335,-4653300,21/03/2024
AMV,3.8,-0.10 (-2.56 %),820,4699400,5731,2380041,680,6424800,9448,4105441,-1725400,21/03/2024
C69,7.7,0.30 (4.05 %),523,1570400,3003,676978,500,1435100,2870,541678,135300,21/03/2024
API,5.3,0.00 (0.00 %),253,771600,3050,488657,301,1048500,3483,765557,-276900,21/03/2024
BCC,9.5,-0.10 (-1.04 %),674,836100,1241,482578,256,840300,3282,486778,-4200,21/03/2024
CVN,3.4,0.00 (0.00 %),191,888100,4650,468128,202,1626600,8052,1206628,-738500,21/03/2024
AAV,3.8,0.00 (0.00 %),351,715000,2037,425002,326,1283200,3936,993202,-568200,21/03/2024
APS,7.0,0.10 (1.45 %),583,1731100,2969,412723,830,3509100,4228,2190723,-1778000,21/03/2024
BNA,11.2,0.30 (2.75 %),153,316000,2065,213116,167,326600,1956,223716,-10600,21/03/2024
CTP,3.5,-0.10 (-2.78 %),105,259400,2470,164700,124,409200,3300,314500,-149800,21/03/2024
BVS,32.4,0.50 (1.57 %),613,756300,1234,108039,794,995200,1253,346939,-238900,21/03/2024
SDT,4.0,0.20 (5.26 %),38,117600,3095,51982,40,125200,3130,59582,-7600,21/03/2024
CAP,64.8,0.10 (0.15 %),307,116700,380,45539,179,120400,673,49239,-3700,21/03/2024
BAB,12.6,0.10 (0.80 %),43,43900,1021,37686,57,55600,975,49386,-11700,21/03/2024
BTW,33.5,0.00 (0.00 %),4,35500,8875,35500,1,100,100,100,35400,21/03/2024
CAG,7.4,0.20 (2.78 %),47,27700,589,25600,21,10300,490,8200,17400,21/03/2024
BLF,6.0,0.70 (13.21 %),100,69100,691,23775,55,66600,1211,21275,2500,21/03/2024
CIA,10.7,-0.30 (-2.73 %),38,32900,866,18894,30,70300,2343,56294,-37400,21/03/2024
BTS,5.6,0.00 (0.00 %),50,53800,1076,18600,65,104600,1609,69400,-50800,21/03/2024
CDN,28.3,0.00 (0.00 %),39,28700,736,12399,27,43900,1626,27599,-15200,21/03/2024
CCR,11.1,0.00 (0.00 %),14,10700,764,10700,8,4800,600,4800,5900,21/03/2024
AMC,18.0,0.80 (4.65 %),8,6000,750,5900,2,3100,1550,3000,2900,21/03/2024
BAX,42.8,-0.20 (-0.47 %),32,11300,353,5600,18,9900,550,4200,1400,21/03/2024
BDB,12.8,0.00 (0.00 %),3,5300,1767,5300,1,100,100,100,5200,21/03/2024
BCF,29.8,0.00 (0.00 %),5,5300,1060,4950,13,5300,408,4950,0,21/03/2024
ADC,19.3,0.20 (1.05 %),11,4200,382,4000,5,2500,500,2300,1700,21/03/2024
ALT,14.4,0.00 (0.00 %),5,2600,520,2595,10,5200,520,5195,-2600,21/03/2024
CMC,6.5,0.00 (0.00 %),2,2100,1050,2000,9,4300,478,4200,-2200,21/03/2024
BKC,7.2,0.00 (0.00 %),4,1600,400,1600,8,1700,212,1700,-100,21/03/2024
BPC,8.7,0.00 (0.00 %),11,1400,127,1200,7,5600,800,5400,-4200,21/03/2024
ATS,8.5,0.00 (0.00 %),1,1100,1100,1100,0,0,-2147483648,0,1100,21/03/2024
BST,15.5,0.00 (0.00 %),6,1000,167,700,10,6100,610,5800,-5100,21/03/2024
CAN,49.9,0.00 (0.00 %),2,600,300,600,1,500,500,500,100,21/03/2024
BBS,11.0,0.00 (0.00 %),1,200,200,200,4,4000,1000,4000,-3800,21/03/2024
AME,8.3,0.00 (0.00 %),4,100,25,90,9,3800,422,3790,-3700,21/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
LUT,1.6,0.60 (60.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
BED,33.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
ARM,29.0,0.00 (0.00 %),1,0,0,0,1,300,300,300,-300,21/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
CJC,25.8,0.00 (0.00 %),0,0,-2147483648,0,2,600,300,600,-600,21/03/2024
BXH,19.1,0.00 (0.00 %),0,0,-2147483648,0,3,500,167,500,-500,21/03/2024
TKC,1.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
BSC,12.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
DNM,16.8,-1.30 (-7.18 %),0,0,-2147483648,0,10,3700,370,3700,-3700,21/03/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,21/03/2024
