STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
AMV,3.9,0.10 (2.63 %),512,2106200,4114,1582692,565,3803900,6733,3280392,-1697700,20/03/2024
APS,6.9,0.00 (0.00 %),399,798400,2001,434788,608,2130600,3504,1766988,-1332200,20/03/2024
API,5.3,0.00 (0.00 %),192,541200,2819,396422,233,922400,3959,777622,-381200,20/03/2024
BNA,10.9,0.00 (0.00 %),162,370600,2288,338697,87,188800,2170,156897,181800,20/03/2024
AAV,3.8,0.10 (2.70 %),238,340200,1429,258499,235,1345100,5724,1263399,-1004900,20/03/2024
BCC,9.6,0.10 (1.05 %),325,300300,924,206902,220,453400,2061,360002,-153100,20/03/2024
BVS,31.9,0.60 (1.92 %),519,655000,1262,168517,574,653300,1138,166817,1700,20/03/2024
CAP,64.7,-2.90 (-4.29 %),529,167200,316,60822,242,165000,682,58622,2200,20/03/2024
SDT,3.8,-0.10 (-2.56 %),24,62300,2596,51986,23,55600,2417,45286,6700,20/03/2024
BAB,12.5,0.20 (1.63 %),45,50300,1118,40066,45,40100,891,29866,10200,20/03/2024
BLF,5.4,0.00 (0.00 %),48,62500,1302,35850,42,56300,1340,29650,6200,20/03/2024
BTW,33.5,0.00 (0.00 %),3,35600,11867,35600,0,0,-2147483648,0,35600,20/03/2024
CAG,7.2,0.00 (0.00 %),30,18300,610,12800,21,17600,838,12100,700,20/03/2024
BTS,5.6,0.00 (0.00 %),19,12700,668,12395,31,96300,3106,95995,-83600,20/03/2024
CIA,11.0,0.00 (0.00 %),19,10000,526,8065,26,36600,1408,34665,-26600,20/03/2024
CCR,11.1,0.00 (0.00 %),12,8000,667,7999,7,3100,443,3099,4900,20/03/2024
ADC,19.1,-0.30 (-1.55 %),11,13300,1209,5993,13,8800,677,1493,4500,20/03/2024
BCF,29.8,0.00 (0.00 %),3,5000,1667,5000,9,5000,556,5000,0,20/03/2024
AMC,17.2,-0.80 (-4.44 %),12,5700,475,4800,7,4100,586,3200,1600,20/03/2024
BPC,8.7,0.10 (1.16 %),18,60100,3339,3200,8,59300,7412,2400,800,20/03/2024
BKC,7.2,0.00 (0.00 %),5,1300,260,1300,9,1900,211,1900,-600,20/03/2024
ATS,8.5,0.00 (0.00 %),3,1000,333,1000,0,0,-2147483648,0,1000,20/03/2024
ALT,14.4,0.00 (0.00 %),6,1000,167,999,13,6700,515,6699,-5700,20/03/2024
BAX,43.0,1.00 (2.38 %),6,1100,183,868,12,2500,208,2268,-1400,20/03/2024
BBS,11.0,0.00 (0.00 %),4,600,150,600,3,3000,1000,3000,-2400,20/03/2024
BST,15.5,0.00 (0.00 %),3,500,167,500,5,1900,380,1900,-1400,20/03/2024
BDB,12.8,0.00 (0.00 %),2,300,150,300,1,100,100,100,200,20/03/2024
ARM,29.0,0.00 (0.00 %),1,300,300,300,1,300,300,300,0,20/03/2024
CMC,6.5,0.00 (0.00 %),3,400,133,100,14,6200,443,5900,-5800,20/03/2024
TKC,1.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
LUT,1.6,0.60 (60.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
AME,8.3,-0.70 (-7.78 %),8,800,100,0,23,9000,391,8200,-8200,20/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
CKV,15.0,0.00 (0.00 %),0,0,-2147483648,0,2,2100,1050,2100,-2100,20/03/2024
BXH,19.1,1.30 (7.30 %),1,100,100,0,5,600,120,500,-500,20/03/2024
BED,33.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
BSC,12.0,0.00 (0.00 %),0,0,-2147483648,0,1,100,100,100,-100,20/03/2024
DNM,16.8,-1.30 (-7.18 %),0,0,-2147483648,0,11,2900,264,2900,-2900,20/03/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/03/2024
