STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CEO,21.9,0.20 (0.92 %),8270,19719700,2384,3682737,10029,26696100,2662,10659137,-6976400,20/02/2024
AMV,4.0,0.00 (0.00 %),618,4508800,7296,2117375,996,6741600,6769,4350175,-2232800,20/02/2024
APS,6.4,0.00 (0.00 %),614,1134000,1847,469250,477,1515600,3177,850850,-381600,20/02/2024
CVN,3.3,0.00 (0.00 %),183,924600,5052,466733,166,1051900,6337,594033,-127300,20/02/2024
AAV,4.0,0.10 (2.56 %),369,839400,2275,456054,356,1335300,3751,951954,-495900,20/02/2024
API,5.4,0.00 (0.00 %),234,639000,2731,435348,207,844200,4078,640548,-205200,20/02/2024
DL1,4.7,0.10 (2.17 %),239,653500,2734,362412,305,1115700,3658,824612,-462200,20/02/2024
C69,7.0,0.00 (0.00 %),321,783300,2440,358104,289,799500,2766,374304,-16200,20/02/2024
BVS,26.7,0.30 (1.14 %),483,840400,1740,339546,333,693400,2082,192546,147000,20/02/2024
BNA,12.2,-0.10 (-0.81 %),182,502000,2758,310640,130,440000,3385,248640,62000,20/02/2024
BCC,9.9,0.00 (0.00 %),485,889000,1833,289846,611,1093400,1790,494246,-204400,20/02/2024
DHT,26.6,0.00 (0.00 %),174,310400,1784,97579,217,343500,1583,130679,-33100,20/02/2024
CMS,16.5,-0.20 (-1.20 %),281,221600,789,95397,159,220800,1389,94597,800,20/02/2024
CTP,3.9,-0.20 (-4.88 %),124,211200,1703,84399,100,489600,4896,362799,-278400,20/02/2024
BAB,12.7,0.00 (0.00 %),33,33400,1012,30533,32,42300,1322,39433,-8900,20/02/2024
BTS,5.6,0.10 (1.82 %),53,55600,1049,28300,50,145300,2906,118000,-89700,20/02/2024
