STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CPC,16.4,0.30 (1.86 %),31,30200,974,27800,16,14400,900,12000,15800,20/02/2024
SDT,3.6,0.00 (0.00 %),30,50600,1687,24900,39,107600,2759,81900,-57000,20/02/2024
BLF,3.7,0.10 (2.78 %),25,35000,1400,24843,25,51300,2052,41143,-16300,20/02/2024
CSC,28.9,0.00 (0.00 %),103,105600,1025,19125,120,161300,1344,74825,-55700,20/02/2024
CIA,11.2,-0.30 (-2.61 %),41,40200,980,17185,35,61800,1766,38785,-21600,20/02/2024
CLH,26.8,0.40 (1.52 %),28,27300,975,16592,39,21900,562,11192,5400,20/02/2024
DC2,4.6,0.00 (0.00 %),19,13400,705,12589,16,7800,488,6989,5600,20/02/2024
CAP,82.2,-1.30 (-1.56 %),143,46300,324,10779,98,72900,744,37379,-26600,20/02/2024
CDN,28.0,-1.00 (-3.45 %),17,8400,494,7999,18,20500,1139,20099,-12100,20/02/2024
DNP,20.8,-0.10 (-0.48 %),19,8300,437,7692,21,15700,748,15092,-7400,20/02/2024
DIH,24.1,0.00 (0.00 %),30,26600,887,7400,41,35900,876,16700,-9300,20/02/2024
CCR,11.0,0.00 (0.00 %),12,7700,642,7199,13,5300,408,4799,2400,20/02/2024
ALT,13.5,0.00 (0.00 %),10,8400,840,7197,11,4000,364,2797,4400,20/02/2024
CMC,6.0,0.40 (7.14 %),7,7000,1000,6500,3,1500,500,1000,5500,20/02/2024
DAE,14.0,0.00 (0.00 %),8,6500,812,6464,7,4000,571,3964,2500,20/02/2024
AMC,17.4,-0.60 (-3.33 %),9,5800,644,5500,9,1600,178,1300,4200,20/02/2024
CAG,7.0,0.00 (0.00 %),23,5300,230,4499,8,7200,900,6399,-1900,20/02/2024
ADC,18.9,0.00 (0.00 %),7,4200,600,4185,4,2300,575,2285,1900,20/02/2024
BPC,9.0,0.00 (0.00 %),4,4000,1000,4000,6,17300,2883,17300,-13300,20/02/2024
BBS,10.0,0.00 (0.00 %),6,5600,933,3600,3,3100,1033,1100,2500,20/02/2024
BCF,29.0,0.00 (0.00 %),14,4000,286,3300,6,9500,1583,8800,-5500,20/02/2024
ARM,24.3,0.00 (0.00 %),2,3200,1600,3200,0,0,-2147483648,0,3200,20/02/2024
BAX,41.9,0.20 (0.48 %),18,3300,183,2990,14,4900,350,4590,-1600,20/02/2024
D11,12.8,0.10 (0.79 %),13,3500,269,2800,8,5000,625,4300,-1500,20/02/2024
DAD,19.0,0.00 (0.00 %),7,2600,371,2600,10,11000,1100,11000,-8400,20/02/2024
DHP,11.2,0.00 (0.00 %),8,3500,438,2300,4,1500,375,300,2000,20/02/2024
CET,5.1,-0.40 (-7.27 %),14,2900,207,2200,14,44900,3207,44200,-42000,20/02/2024
CKV,13.5,0.00 (0.00 %),2,1900,950,1860,1,100,100,60,1800,20/02/2024
BTW,33.5,0.00 (0.00 %),2,1500,750,1500,0,0,-2147483648,0,1500,20/02/2024
AME,8.2,0.00 (0.00 %),5,900,180,900,12,10600,883,10600,-9700,20/02/2024
CLM,67.0,0.00 (0.00 %),2,400,200,390,7,4700,671,4690,-4300,20/02/2024
CAN,53.0,4.40 (9.05 %),14,1800,129,300,6,1500,250,0,300,20/02/2024
BKC,7.2,0.00 (0.00 %),2,300,150,299,4,700,175,699,-400,20/02/2024
BST,17.2,0.00 (0.00 %),1,200,200,200,11,3400,309,3400,-3200,20/02/2024
BDB,12.5,0.10 (0.81 %),2,300,150,100,4,400,100,200,-100,20/02/2024
DNM,16.8,1.70 (11.26 %),1,100,100,0,8,3300,412,3200,-3200,20/02/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
LUT,1.6,0.40 (33.33 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
CTC,1.3,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
CTT,17.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
CTB,23.0,0.00 (0.00 %),0,0,-2147483648,0,3,2900,967,2900,-2900,20/02/2024
ATS,13.8,0.00 (0.00 %),0,0,-2147483648,0,1,100,100,100,-100,20/02/2024
CJC,25.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
BED,33.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
BSC,12.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
BXH,18.0,0.00 (0.00 %),0,0,-2147483648,0,1,700,700,700,-700,20/02/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,20/02/2024
