STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
AMV,3.9,0.00 (0.00 %),679,2773900,4085,2028915,559,3695200,6610,2950215,-921300,11/03/2024
APS,6.7,-0.30 (-4.29 %),869,2036000,2343,489912,941,3233700,3436,1687612,-1197700,11/03/2024
API,5.2,-0.30 (-5.45 %),208,761600,3662,445366,270,1209800,4481,893566,-448200,11/03/2024
AAV,3.7,-0.10 (-2.63 %),307,622400,2027,348932,275,1135300,4128,861832,-512900,11/03/2024
CET,5.6,0.50 (9.80 %),111,324600,2924,290200,20,34400,1720,0,290200,11/03/2024
BNA,10.9,-0.20 (-1.80 %),231,509700,2206,283798,115,359000,3122,133098,150700,11/03/2024
BCC,9.5,-0.10 (-1.04 %),412,318500,773,163664,189,812200,4297,657364,-493700,11/03/2024
C69,7.3,-0.30 (-3.95 %),341,705400,2069,154287,290,1053500,3633,502387,-348100,11/03/2024
BLF,3.7,0.20 (5.71 %),39,151000,3872,81040,31,69900,2255,-60,81100,11/03/2024
BAB,12.3,-0.10 (-0.81 %),51,33100,649,28408,32,54900,1716,50208,-21800,11/03/2024
CDN,27.1,-1.00 (-3.56 %),42,22000,524,21780,14,18400,1314,18180,3600,11/03/2024
SDT,3.9,0.30 (8.33 %),32,46500,1453,13470,47,82800,1762,49770,-36300,11/03/2024
BTS,5.6,0.00 (0.00 %),33,21600,655,9900,47,104300,2219,92600,-82700,11/03/2024
BAX,42.0,0.00 (0.00 %),14,8900,636,6300,14,5900,421,3300,3000,11/03/2024
AMC,17.4,0.00 (0.00 %),7,5600,800,5600,3,1300,433,1300,4300,11/03/2024
ALT,13.6,-0.20 (-1.45 %),11,5800,527,5392,7,3300,471,2892,2500,11/03/2024
ADC,20.0,0.00 (0.00 %),10,6500,650,4300,10,5200,520,3000,1300,11/03/2024
BCF,29.8,0.00 (0.00 %),11,4300,391,3281,9,11400,1267,10381,-7100,11/03/2024
BBS,10.0,0.00 (0.00 %),4,2700,675,2700,1,1000,1000,1000,1700,11/03/2024
ATS,10.0,-0.80 (-7.41 %),6,2300,383,1800,3,800,267,300,1500,11/03/2024
BST,14.6,0.00 (0.00 %),8,1300,162,1300,4,1700,425,1700,-400,11/03/2024
BTW,33.5,0.00 (0.00 %),3,1300,433,1300,0,0,-2147483648,0,1300,11/03/2024
CAN,49.9,0.00 (0.00 %),5,1000,200,1000,2,500,250,500,500,11/03/2024
BPC,9.3,0.00 (0.00 %),2,1000,500,1000,7,6900,986,6900,-5900,11/03/2024
BKC,6.9,0.00 (0.00 %),3,900,300,898,7,1700,243,1698,-800,11/03/2024
AME,8.2,0.00 (0.00 %),3,500,167,500,7,5200,743,5200,-4700,11/03/2024
BDB,12.8,0.00 (0.00 %),1,200,200,200,0,0,-2147483648,0,200,11/03/2024
ARM,32.2,0.00 (0.00 %),0,0,-2147483648,0,4,1500,375,1500,-1500,11/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
LUT,1.6,0.50 (45.45 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
BED,33.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,11/03/2024
DNM,16.8,-2.10 (-11.11 %),0,0,-2147483648,-10,13,4900,377,4890,-4900,11/03/2024
