STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CEO,23.6,0.20 (0.85 %),10415,27685800,2658,3534330,17374,38925600,2240,14774130,-11239800,22/03/2024
AMV,3.8,0.00 (0.00 %),670,3649700,5447,2392020,684,5046200,7377,3788520,-1396500,22/03/2024
APS,6.9,-0.10 (-1.43 %),564,1345500,2386,735908,678,2621300,3866,2011708,-1275800,22/03/2024
C69,7.7,0.00 (0.00 %),404,968400,2397,440238,383,972600,2539,444438,-4200,22/03/2024
AAV,3.8,0.00 (0.00 %),386,706000,1829,386594,334,1696800,5080,1377394,-990800,22/03/2024
API,5.3,0.00 (0.00 %),268,648900,2421,368571,303,922100,3043,641771,-273200,22/03/2024
BCC,9.6,0.10 (1.05 %),499,554000,1110,327484,351,741500,2113,514984,-187500,22/03/2024
DL1,4.5,0.00 (0.00 %),182,569200,3127,304143,320,1182200,3694,917143,-613000,22/03/2024
BNA,11.2,0.00 (0.00 %),113,243600,2156,162150,129,377300,2925,295850,-133700,22/03/2024
BVS,32.6,0.20 (0.62 %),742,903100,1217,155919,709,1103200,1556,356019,-200100,22/03/2024
CMS,16.9,-0.30 (-1.74 %),317,322500,1017,124357,205,285200,1391,87057,37300,22/03/2024
CSC,31.6,0.00 (0.00 %),180,173000,961,63780,176,179200,1018,69980,-6200,22/03/2024
CAP,64.8,0.00 (0.00 %),236,102500,434,43419,154,96800,629,37719,5700,22/03/2024
BTW,33.5,0.00 (0.00 %),4,35800,8950,35800,1,100,100,100,35700,22/03/2024
CIA,10.3,-0.40 (-3.74 %),78,84700,1086,34364,24,76400,3183,26064,8300,22/03/2024
BAB,12.5,-0.10 (-0.79 %),47,35700,760,31764,42,62000,1476,58064,-26300,22/03/2024
BLF,5.5,-0.20 (-3.51 %),77,55700,723,28936,43,75400,1753,48636,-19700,22/03/2024
LUT,1.6,0.60 (60.00 %),36,55900,1553,23654,19,51700,2721,19454,4200,22/03/2024
CDN,28.2,-0.10 (-0.35 %),36,35600,989,22998,36,31000,861,18398,4600,22/03/2024
CAG,7.6,0.20 (2.70 %),46,30100,654,21299,49,24400,498,15599,5700,22/03/2024
CET,8.0,-0.40 (-4.76 %),120,101000,842,21000,62,168000,2710,88000,-67000,22/03/2024
BTS,5.6,0.00 (0.00 %),27,18100,670,16900,38,60300,1587,59100,-42200,22/03/2024
CPC,16.6,0.00 (0.00 %),19,15500,816,13200,16,13200,825,10900,2300,22/03/2024
CCR,11.1,0.00 (0.00 %),11,13000,1182,12999,11,8300,755,8299,4700,22/03/2024
CLH,26.0,0.10 (0.39 %),37,17000,459,11600,24,16400,683,11000,600,22/03/2024
BST,14.2,-1.30 (-8.39 %),18,18300,1017,9967,19,17000,895,8667,1300,22/03/2024
DAE,14.3,0.20 (1.42 %),10,8700,870,7747,7,3400,486,2447,5300,22/03/2024
ALT,14.4,0.00 (0.00 %),6,7600,1267,7599,6,3600,600,3599,4000,22/03/2024
BCF,29.8,0.00 (0.00 %),6,5600,933,5534,8,3900,488,3834,1700,22/03/2024
BDB,12.8,0.00 (0.00 %),3,5200,1733,5200,1,100,100,100,5100,22/03/2024
AMC,18.9,0.90 (5.00 %),11,5000,455,4900,6,2900,483,2800,2100,22/03/2024
BAX,42.0,-0.80 (-1.87 %),15,3700,247,2788,20,5400,270,4488,-1700,22/03/2024
CMC,6.1,-0.40 (-6.15 %),5,4300,860,2100,8,6300,788,4100,-2000,22/03/2024
BKC,7.1,-0.10 (-1.39 %),11,1800,164,1200,8,2200,275,1600,-400,22/03/2024
ADC,19.3,0.00 (0.00 %),6,2200,367,1195,10,1900,190,895,300,22/03/2024
BPC,8.7,0.00 (0.00 %),8,800,100,800,3,2600,867,2600,-1800,22/03/2024
ATS,8.3,-0.20 (-2.35 %),8,900,112,800,1,100,100,0,800,22/03/2024
BBS,11.0,0.00 (0.00 %),2,700,350,700,3,3000,1000,3000,-2300,22/03/2024
CAN,49.9,0.00 (0.00 %),2,600,300,600,1,500,500,500,100,22/03/2024
AME,8.3,0.00 (0.00 %),3,400,133,400,14,4500,321,4500,-4100,22/03/2024
CX8,8.2,0.00 (0.00 %),3,300,100,300,1,200,200,200,100,22/03/2024
CLM,75.0,0.00 (0.00 %),2,200,100,200,9,9100,1011,9100,-8900,22/03/2024
CTB,22.9,0.00 (0.00 %),1,100,100,100,1,100,100,100,0,22/03/2024
CJC,25.8,0.00 (0.00 %),0,0,-2147483648,0,1,200,200,200,-200,22/03/2024
BXH,19.1,0.00 (0.00 %),0,0,-2147483648,0,2,500,250,500,-500,22/03/2024
BSC,12.0,0.00 (0.00 %),1,0,0,0,0,0,-2147483648,0,0,22/03/2024
CTT,17.5,0.00 (0.00 %),0,0,-2147483648,0,1,2000,2000,2000,-2000,22/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,22/03/2024
BED,33.0,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,22/03/2024
ARM,29.0,0.00 (0.00 %),0,0,-2147483648,0,1,200,200,200,-200,22/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,22/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,22/03/2024
CKV,15.0,0.00 (0.00 %),0,0,-2147483648,0,2,2100,1050,2100,-2100,22/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,22/03/2024
DNM,16.8,-1.30 (-7.18 %),17,11900,700,-22,32,15700,491,3778,-3800,22/03/2024
