STOCK_ID,PRICE,PRICE_CHANGE_VALUE,BUY_ORDER_QUANTITY,BUY_ORDER_VOLUME,VOLUME_PER_BUY_ORDER,UNMATCHED_BUY_ORDER_QUANTITY,SELL_ORDER_QUANTITY,SELL_ORDER_VOLUME,VOLUME_PER_SELL_ORDER,UNMATCHED_SELL_ORDER_QUANTITY,NET_VOLUME,RECORDED_DATE
CEO,22.0,0.30 (1.38 %),6294,16438300,2612,2729222,9552,23770800,2489,10061722,-7332500,14/03/2024
AMV,3.9,0.00 (0.00 %),752,3095100,4116,1833433,737,4353600,5907,3091933,-1258500,14/03/2024
AAV,3.8,-0.10 (-2.56 %),427,1079000,2527,479989,329,1800400,5472,1201389,-721400,14/03/2024
C69,7.3,-0.10 (-1.35 %),427,1117500,2617,375567,314,1281800,4082,539867,-164300,14/03/2024
API,5.3,0.00 (0.00 %),250,614700,2459,312659,210,788600,3755,486559,-173900,14/03/2024
APS,6.8,0.00 (0.00 %),601,1708000,2842,273439,980,3088600,3152,1654039,-1380600,14/03/2024
BNA,10.9,-0.10 (-0.91 %),196,295300,1507,226899,135,389300,2884,320899,-94000,14/03/2024
BLF,3.7,-1.10 (-22.92 %),96,204200,2127,192133,16,12100,756,33,192100,14/03/2024
BCC,9.8,0.20 (2.08 %),401,712900,1778,184326,615,1079900,1756,551326,-367000,14/03/2024
BVS,33.2,-0.80 (-2.35 %),875,1007200,1151,127160,635,1258800,1982,378760,-251600,14/03/2024
SDT,3.8,-0.10 (-2.56 %),26,60200,2315,54399,30,82100,2737,76299,-21900,14/03/2024
CTP,3.4,-0.20 (-5.56 %),90,88900,988,46581,96,534200,5565,491881,-445300,14/03/2024
CAP,101.8,2.10 (2.11 %),271,143300,529,39022,234,154900,662,50622,-11600,14/03/2024
BAB,12.5,0.00 (0.00 %),35,44000,1257,36729,37,59600,1611,52329,-15600,14/03/2024
BTW,33.5,0.00 (0.00 %),3,35600,11867,35600,0,0,-2147483648,0,35600,14/03/2024
BTS,5.7,0.10 (1.79 %),50,59900,1198,33525,62,115900,1869,89525,-56000,14/03/2024
CIA,11.1,0.00 (0.00 %),30,33200,1107,27170,31,39800,1284,33770,-6600,14/03/2024
CET,7.3,0.60 (8.96 %),117,295100,2522,21381,65,273700,4211,-19,21400,14/03/2024
CDN,27.8,-0.80 (-2.80 %),34,23600,694,20991,29,18800,648,16191,4800,14/03/2024
CMC,6.5,0.40 (6.56 %),15,18400,1227,16297,13,8100,623,5997,10300,14/03/2024
CAG,7.5,0.20 (2.74 %),76,76700,1009,9900,50,86800,1736,20000,-10100,14/03/2024
ALT,13.8,-0.90 (-6.12 %),5,9600,1920,9500,16,9300,581,9200,300,14/03/2024
ADC,19.6,0.60 (3.16 %),15,8700,580,7373,10,4700,470,3373,4000,14/03/2024
BPC,9.4,0.00 (0.00 %),18,6600,367,5900,7,8900,1271,8200,-2300,14/03/2024
CLH,26.7,0.20 (0.75 %),33,19700,597,5900,31,21400,690,7600,-1700,14/03/2024
BCF,29.5,-0.30 (-1.01 %),10,13500,1350,5000,13,11400,877,2900,2100,14/03/2024
AMC,18.4,0.00 (0.00 %),5,2700,540,2700,7,3100,443,3100,-400,14/03/2024
BKC,6.9,0.00 (0.00 %),11,2900,264,2200,12,2900,242,2200,0,14/03/2024
AME,8.2,0.00 (0.00 %),20,2600,130,2000,9,5700,633,5100,-3100,14/03/2024
BAX,42.0,0.00 (0.00 %),12,3900,325,1900,16,4600,288,2600,-700,14/03/2024
BST,15.4,0.70 (4.76 %),5,800,160,700,4,1400,350,1300,-600,14/03/2024
CAN,49.9,0.00 (0.00 %),2,600,300,600,1,500,500,500,100,14/03/2024
BSC,12.0,0.00 (0.00 %),3,500,167,500,0,0,-2147483648,0,500,14/03/2024
ATS,8.5,0.00 (0.00 %),6,400,67,400,0,0,-2147483648,0,400,14/03/2024
CLM,72.0,0.00 (0.00 %),5,400,80,300,6,1000,167,900,-600,14/03/2024
BDB,12.8,0.00 (0.00 %),2,300,150,300,2,400,200,400,-100,14/03/2024
BBS,11.0,0.00 (0.00 %),2,200,100,200,3,3000,1000,3000,-2800,14/03/2024
BED,33.0,0.00 (0.00 %),1,200,200,200,0,0,-2147483648,0,200,14/03/2024
BXH,16.2,0.00 (0.00 %),1,100,100,100,0,0,-2147483648,0,100,14/03/2024
ARM,29.0,0.00 (0.00 %),1,100,100,100,0,0,-2147483648,0,100,14/03/2024
DNM,16.8,-2.10 (-11.11 %),1,100,100,100,10,3600,360,3600,-3500,14/03/2024
CKV,15.0,0.00 (0.00 %),0,0,-2147483648,0,2,22000,11000,22000,-22000,14/03/2024
CTC,1.3,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
CTX,7.5,-0.10 (-1.32 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
DZM,2.9,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
KLF,0.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
LUT,1.6,0.50 (45.45 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
MIM,4.2,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
CJC,25.8,0.00 (0.00 %),0,0,-2147483648,0,1,200,200,200,-200,14/03/2024
TTZ,1.8,0.00 (0.00 %),0,0,-2147483648,0,0,0,-2147483648,0,0,14/03/2024
